City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,lloydminster,53.2835,-110.0016,-6.88,79,75,6.69,CA,1679363107
316,boddam,57.4667,-1.7833,7.21,97,100,7.53,GB,1679363109
317,bilibino,68.0546,166.4372,-23.1,89,98,2.26,RU,1679362949
318,nosy varika,-20.5833,48.5333,22.93,92,100,1.79,MG,1679363110
319,auka,14.9333,-83.8333,23.35,88,6,1.71,HN,1679363112
320,faanui,-16.4833,-151.75,27.92,72,7,5.76,PF,1679362947
321,lata,40.1629,-8.3327,9.95,94,100,1.12,PT,1679362914
322,buala,-8.145,159.5921,28.79,74,98,4.41,SB,1679362945
323,fare,-16.7,-151.0167,27.64,74,89,6.0,PF,1679363115
324,ubinskoye,55.3068,79.6802,-12.82,95,97,3.83,RU,1679363116
325,bundaberg,-24.85,152.35,30.68,59,6,2.68,AU,1679362947
326,hun,29.1268,15.9477,21.59,18,100,6.91,LY,1679363118
327,grand gaube,-20.0064,57.6608,24.1,81,68,1.34,MU,1679362944
328,afrikanda,67.4429,32.7828,-17.57,99,61,1.77,RU,1679363120
329,camana,-16.6228,-72.7111,23.56,83,60,2.27,PE,1679363121
330,lompoc,34.6391,-120.4579,13.34,81,20,1.54,US,1679362944
331,sola,-13.8833,167.55,28.09,68,50,0.22,VU,1679362948
332,kavaratti,10.5669,72.642,27.81,54,37,3.56,IN,1679362944
333,srandakan,-7.9386,110.2506,28.23,74,100,1.61,ID,1679363123
334,khatanga,71.9667,102.5,-28.05,90,100,2.07,RU,1679362945
335,chabahar,25.2919,60.643,22.83,76,5,3.32,IR,1679363125
336,kamenka,51.3223,42.7678,4.98,70,92,3.01,RU,1679363126
337,gat,31.61,34.7642,13.55,84,46,1.9,IL,1679362944
338,khandyga,62.6667,135.6,-26.23,92,100,2.0,RU,1679362945
339,lagoa,39.05,-27.9833,15.71,81,93,6.27,PT,1679362945
340,senador jose porfirio,-2.5908,-51.9542,22.95,94,100,2.54,BR,1679363128
341,santa isabel do rio negro,-0.4139,-65.0192,24.64,76,99,0.49,BR,1679363129
342,beyneu,45.3167,55.2,4.4,67,0,4.87,KZ,1679362944
343,marzuq,14.4,46.4667,22.46,43,11,1.33,YE,1679363130
344,zhezkazgan,47.8043,67.7144,-8.01,86,0,5.0,KZ,1679363131
345,abeche,13.8292,20.8324,25.44,14,63,4.86,TD,1679363132
346,priiskovyy,51.9333,116.6333,-1.99,88,94,1.32,RU,1679363133
